********
* The Activity Log contains a detailed list of the steps the Evernote application performs,
* as well as information about your account and your device. Your Note titles, tags,
* Notebook names and occasionally Note content also may be included. We treat your
* Activity Log data as confidential, and the terms of our Privacy Policy apply (http://evernote.com/privacy).
*
* You may remove anything you do not want to send us.
********


[11384] Log opened on 2018/02/26 00:31:29 (UTC+8:00), logging level: [INFO   ]

00:31:29 [INFO   ] [11384] [12888] Command line: "D:\印象笔记\BasicInstallation\Evernote.exe" 
00:31:29 [INFO   ] [11384] [12888] Evernote for Windows 6.8.7.6387 (306387) Public
00:31:29 [INFO   ] [11384] [12888] Client info: Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);
00:31:29 [INFO   ] [11384] [12888] Common Editor: ce-1.36.3494 (055790cb2f8e377acafe8df193c8920bbec1e128)
00:31:29 [INFO   ] [11384] [12888] Bootstrap info: Evernote-China,Evernote (loadedLastUsed)
00:31:29 [INFO   ] [11388] [21308] Starting EvernoteSubprocess.exe
00:31:29 [INFO   ] [11388] [21308]  * Command-line params: --type=gpu-process --no-sandbox --lang=zh-CN --log-file="D:\印象笔记\LocalFiles\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --gpu-vendor-id=0x8086 --gpu-device-id=0x0416 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=20.19.15.4549 --gpu-driver-date=11-10-2016 --gpu-secondary-vendor-ids=0x10de --gpu-secondary-device-ids=0x1391 --lang=zh-CN --log-file="D:\印象笔记\LocalFiles\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --service-request-channel-token=AACE533648A9BAB077EA07EBD08BDEA5 --mojo-platform-channel-handle=1636 /prefetch:2
00:31:31 [INFO   ] [11384] [12888] Registered session count: 1, last session: 2018/02/26 00:30:00
00:31:31 [INFO   ] [11384] [12888] Bootstrap info: Evernote-China,Evernote (loadedDatabase)
00:31:31 [INFO   ] [11384] [12888] Set the service host to "app.yinxiang.com"
